PRODUCT SYMBOL,CONTRACT MONTH,CONTRACT YEAR,CONTRACT DAY,CONTRACT,PRODUCT DESCRIPTION,OPEN,HIGH,HIGH AB INDICATOR,LOW,LOW AB INDICATOR,LAST,LAST AB INDICATOR,SETTLE,PT CHG,EST. VOL,PRIOR SETTLE,PRIOR VOL,PRIOR INT,TRADEDATE
0A,12,2014,02,0AZ14 D02,Dec 14 Mini Eur1%fueloil Fo,,,,,,,,315.871,-1.672,0,317.543,,30,12/29/2014
0A,12,2014,05,0AZ14 D05,Dec 14 Mini Eur1%fueloil Fo,,,,,,,,306.613,-1.967,0,308.580,,20,12/29/2014
0A,12,2014,10,0AZ14 D10,Dec 14 Mini Eur1%fueloil Fo,,,,,,,,297.191,-2.388,0,299.579,,20,12/29/2014
0A,12,2014,12,0AZ14 D12,Dec 14 Mini Eur1%fueloil Fo,,,,,,,,291.848,-2.786,0,294.634,,20,12/29/2014
0B,12,2014,,0BZ14,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,318.199,-1.389,0,319.588,,248,12/29/2014
0B,01,2015,,0BF15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,279.051,-10.387,0,289.438,,35,12/29/2014
0B,02,2015,,0BG15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,282.360,-10.095,0,292.455,,30,12/29/2014
0B,03,2015,,0BH15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,285.359,-10.403,0,295.762,,25,12/29/2014
0B,04,2015,,0BJ15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,289.048,-10.514,0,299.562,,25,12/29/2014
0B,05,2015,,0BK15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,292.681,-10.516,0,303.197,,25,12/29/2014
0B,06,2015,,0BM15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,296.640,-10.454,0,307.094,,25,12/29/2014
0B,07,2015,,0BN15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,299.993,-10.398,0,310.391,,25,12/29/2014
0B,08,2015,,0BQ15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,303.005,-10.472,0,313.477,,25,12/29/2014
0B,09,2015,,0BU15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,305.977,-10.164,0,316.141,,25,12/29/2014
0B,10,2015,,0BV15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,308.950,-10.568,0,319.518,,25,12/29/2014
0B,11,2015,,0BX15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,311.923,-10.143,0,322.066,,25,12/29/2014
0B,12,2015,,0BZ15,Mini European 1% Fuel Oil Cargoes Fob Nwe (platts),,,,,,,,316.151,-8.237,0,324.388,,25,12/29/2014
0D,12,2014,,0DZ14,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,312.080,-1.080,0,313.160,,2045,12/29/2014
0D,01,2015,,0DF15,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,273.801,-10.075,140,283.876,,1497,12/29/2014
0D,02,2015,,0DG15,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,276.693,-10.062,40,286.755,,625,12/29/2014
0D,03,2015,,0DH15,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,279.859,-10.237,0,290.096,,435,12/29/2014
0D,04,2015,,0DJ15,Mini European 3.5% Fuel Oil Barges Fob Rdam (platt,,,,,,,,283.173,-10.139,0,293.312,,426,12/29/2014
